ID,Titulo,Descricao
1,"Folhas com bordas secas","Pode ser baixa umidade do ar. Coloque a planta próxima a um umidificador ou use um prato com água ao redor."
2,"Solo com cheiro forte","Indica possível apodrecimento de raízes. Suspenda a rega e avalie a troca do substrato."
4,"Folhas enrolando para baixo","Sinal de excesso de água ou má drenagem. Verifique os furos do vaso e reduza a frequência das regas."
5,"Talo escurecido","Pode indicar fungos. Corte a parte afetada e aplique um fungicida preventivo."
6,"Folhas amareladas","Reduza a frequência de rega e verifique se o solo está encharcado."
7,"Pragas visíveis","Use um inseticida natural ou remova manualmente as pragas com um pano úmido."
8,"Manchas nas folhas","Aplique fungicida específico e evite molhar as folhas durante a rega."
9,"Folhas murchas","Aumente a frequência da rega e verifique a drenagem do vaso."
10,"Crescimento lento","Reforce a adubação com nutrientes ricos em nitrogênio."
11,"Folhas queimadas","Evite exposição direta ao sol nas horas mais quentes do dia."
12,"Folhas caindo","Verifique a umidade do ar e a temperatura do ambiente."
13,"Cor desbotada","Reavalie a iluminação: pode ser excesso ou falta de luz."
14,"Raízes expostas","Transplante a planta para um vaso maior e cubra com substrato adequado."
15,"Presença de mofo no solo","Reduza a rega e deixe o vaso em local mais ventilado."
16,"Evite exposição prolongada ao sol","Algumas plantas sensíveis devem ser mantidas em ambientes com luz indireta."
17,"Rotacione o vaso semanalmente","Girar o vaso ajuda a planta a crescer de forma simétrica e equilibrada."
18,"Use regador com bico fino","Isso evita encharcar a terra e danificar as raízes superficiais."
19,"Regar com água benzida","Deve-se regar a planta com água benzida 2x ao dia"
